TrialID,Last Refreshed on,Public title,Scientific title,Acronym,Primary sponsor,Date registration,Date registration3,Export date,Source Register,web address,Recruitment Status,other records,Inclusion agemin,Inclusion agemax,Inclusion gender,Date enrollement,Target size,Study type,Study design,Phase,Countries,Inclusion Criteria,Exclusion Criteria,Condition,Intervention,Primary outcome,Secondary outcome,Secondary ID,Source Name,Secondary Sponsor,Ethics Status,Ethics Approval Date,results yes no,results date posted,results url link,results url protocol,results date completed,results date first publication,results summary,results baseline char,results adverse events,results outcome measures,results ipd plan,results ipd description,Prospective registration,Bridging flag truefalse,Bridged type,Year,age_min_years
NCT05515770,14 October 2024,The Implementation of Pre-exposure Prophylaxis of Injectable Cabotegravir,"An Implementation Study of Long-acting Injectable Cabotegravir (CAB-LA) for HIV Pre-Exposure Prophylaxis (PrEP) Among Young MSM, Non-binary and Transgender Persons (The ImPrEP CAB Study)",ImPrepCab,Evandro Chagas National Institute of Infectious Disease,2022-08-23,20220823.0,10/13/2025 15:56:09,ClinicalTrials.gov,https://clinicaltrials.gov/ct2/show/NCT05515770,Recruiting,No,18 Years,30 Years,Male,20/09/2022,1200,Interventional,Allocation: N/A. Intervention model: Single Group Assignment. Primary purpose: Prevention. Masking: None (Open Label). ,Phase 3,Brazil,"Inclusion Criteria:<br><br> 1. Cisgender men, non-binary (assigned as male at birth) or transgender women and men<br><br> 2. Report having anal sex with a person assigned male at birth in the last six months<br>   (Persons born female having sex only with other persons born female are excluded)<br><br> 3. Age 18-30 years<br><br> 4. Seek a study clinic looking for PrEP<br><br> 5. CAB LA and TDF/FTC PrEP naïve<br><br> 6. Willing and able to provide written informed consent and adhere to the study<br>   requirements<br><br> 7. Non-reactive / negative HIV test results, including both HIV rapid tests and an<br>   undetectable HIV RNA at enrollment for individuals choosing injectable CAB-LA.<br><br> 8. No report of hepatic dysfunction. Candidates reporting liver disease will have their<br>   enrollment visit postponed until laboratory results of liver function are available.<br>   Individuals with ALT >=5x ULN, OR ALT>=3xULN and bilirubin >=1.5xULN will be<br>   excluded. See section 7 (Study Procedures - Enrollment visit).<br><br> 9. Willing to undergo all required study procedures.<br><br>Exclusion Criteria:<br><br> 1. One or more reactive or positive HIV test result at enrollment visit, even if HIV<br>   infection is not confirmed.<br><br> 2. Currently participating in interventional trial of PrEP agents, HIV vaccine trial or<br>   experimental medication.<br><br> 3. Positive pregnancy test, breastfeeding, or intention to become pregnant at enrolment<br>   (for transgender men).<br><br> 4. Prior participation in studies with Cabotegravir.<br><br> 5. A history or presence of allergy to the study drug components.<br><br> 6. Past participation in HIV vaccine trial. An exception will be made for participants<br>   that can provide documentation of receipt of placebo (not active arm).<br><br> 7. Plan to relocate out of the area during the study period.<br><br> 8. Surgically placed or injected buttock implants or fillers, per self-report.<br><br> 9. Has a dermatological/inflammatory skin condition overlying the buttock region which<br>   in the opinion of the study investigator, in consultation with the Clinical Study<br>   Coordination (CSC), may interfere with interpretation of injection site reactions.<br><br> 10. Active or planned use of contraindicated co-administered for which significant<br>   decreases in Cabotegravir plasma concentrations may occur due uridine diphosphate<br>   glucuronosyltransferase (UGT1A1):<br><br>    - Anticonvulsants: Carbamazepine, Oxcarbazepine, Phenobarbital, Phenytoin<br><br>    - Antimycobacterials: Rifampin, Rifapentine *Any prohibited medications that<br>     decrease CAB concentrations should be discontinued for a minimum of four weeks<br>     or a minimum of three half-lives (whichever is longer) prior to the first dose.<br><br> 11. Current or anticipated need for chronic systemic anticoagulation or a history of<br>   known or suspected bleeding disorder, including a history of prolonged bleeding.<br><br> 12. History of severe hepatic impairment (including but not limited to a history of<br>   liver failure or hospitalization for liver disease, a history of hepatocellular<br>   carcinoma or near liver transplant).<br><br> 13. Individuals with advanced Hepatitis C.<br><br> 14. Other medical conditions that, in the opinion of the study investigator, would<br>   interfere with the conduct of the study (e.g., provided by self-report, or found<br>   upon medical).",,HIV Infections,Drug: Cabotegravir Injection,Incident HIV infection,,59166522.7.1001.5262,Please refer to primary and secondary sponsors,Beatriz Grinsztejn;Thiago Torres;Valdilea Gonçalves;Brenda Hoagland,,,No,,,,,,,,,,,,Yes,False,          ,2022.0,18.0
NCT05519046,14 April 2025,Cardiac Contractility Modulation in Chagas Heart Disease,Clinical and Functional Effects of Cardiac Contractility Modulation in Chagas Heart Disease: a Randomized Study - Contractility - FIX-Chagas,FIX-Chagas,InCor Heart Institute,2022-08-10,20220810.0,10/13/2025 15:56:09,ClinicalTrials.gov,https://clinicaltrials.gov/ct2/show/NCT05519046,Recruiting,No,18 Years,75 Years,All,25/05/2022,60,Interventional,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Single (Participant). ,,Brazil,"Inclusion Criteria:<br><br> - Signing of an informed consent form (ICF) before randomization and any study<br>   procedure,<br><br> - Both genders, age >18 years and <75 years,<br><br> - Recent positive (last two years) and documented serology for Chagas disease, in at<br>   least two different tests (indirect hemagglutination, indirect immunofluorescence,<br>   or ELISA),<br><br> - NYHA II-III heart failure functional class,<br><br> - LVEF< 35%,<br><br> - Non left bundle branch block<br><br> - Intraventricular desynchrony (Yu index)<br><br> - Global longitudinal strain >11 %.<br><br>Exclusion Criteria:<br><br> - Participation in another study, presently or terminated <1 year ago, except for a<br>   totally unrelated observational study,<br><br> - Other concomitant cardiovascular diseases, including uncontrolled diabetes mellitus<br>   (systemic arterial hypertension without permitted target organ compromise),<br><br> - Kidney dysfunction (serum creatinine >1.5mg/dL or eGFR <30mL/min/1.73m2) or liver<br>   dysfunction, with diagnosis of cirrhosis or portal hypertension or elevated serum<br>   enzymes (AST or ALT) > 3x the upper limit of normality,<br><br> - Moderate or severe chronic obstructive pulmonary disease,<br><br> - Peripheral polyneuropathy,<br><br> - Hyperthyroidism,<br><br> - Current alcoholism or not abandoned for >2 years,<br><br> - Diagnosed with psychopathy or psychosis or addiction to illicit drugs,<br><br> - Life expectancy <1 year, due to the disease itself or comorbidities (including NYHA<br>   class IV),<br><br> - Pregnancy or breastfeeding,<br><br> - Potential to become pregnant during the study (non-menopausal patients who have not<br>   undergone a radical and safe contraceptive process),<br><br> - Previously withdrawn from this study.",,Chagas Cardiomyopathy;Heart Failure;Systolic Dysfunction;Right Bundle Branch Block and Left Anterior Fascicular Block;Right Bundle Branch Block and Left Posterior Fascicular Block,Device: Cardiac Contractility Modulation (CCM);Device: CRT,QoL Score;QoL Score;GLS;GLS,6MWT;6MWT;NYHAFC;NYHAFC;LVEF;LVEF;Heart Failure Hospitalization (HFH) checklist,57563722.3.0000.0068,Please refer to primary and secondary sponsors,Impulse Dynamics;I2medi Comercial Medica LTDA,,,No,,,,,,,,,,,,No,False,          ,2022.0,18.0
NCT04984265,29 July 2024,SBRT in Chagas Disease Ventricular Tachycardia,Noninvasive Cardiac Radiation for Ablation of Ventricular Tachycardia in Chagas Disease Patients,,University of Sao Paulo General Hospital,2021-07-21,20210721.0,10/13/2025 15:56:09,ClinicalTrials.gov,https://clinicaltrials.gov/ct2/show/NCT04984265,Not recruiting,No,18 Years,,All,14/07/2021,10,Interventional,Allocation: N/A. Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label). ,Phase 1/Phase 2,Brazil,"Inclusion Criteria:<br><br> 1. Diagnosis of Chagas heart disease including positive serology<br><br> 2. Recurrent sustained ventricular tachycardia requiring therapy due to symptoms, ICD<br>   shocks, or requiring hospitalization.<br><br> 3. Age>18 years.<br><br> 4. Able to give written, informed consent. If the patient requires continuous<br>   sedation/anesthesia for arrhythmia control consent can be provided by the next of<br>   kin.<br><br> 5. Medically fit to undergo radiation planning and treatment sessions.<br><br> 6. Failed antiarrhythmic medications due to VT recurrence, drug intolerance, or<br>   contraindication.<br><br> 7. Failed prior catheter ablation due to arrhythmia recurrence or ineligible for<br>   endocardial or epicardial catheter ablation (LV thrombus, epicardial adhesion,<br>   megacolon, prior open chest surgery)<br><br>Exclusion Criteria:<br><br> 1. Cardiogenic shock not due to VT with no possibility of heart transplant or<br>   ventricular assist device.<br><br> 2. Inability for patient to be adequately immobilized for radiation planning and<br>   treatment.<br><br> 3. Repeat catheter ablation is felt to be a reasonable option.<br><br> 4. Previous radiation to the chest.<br><br> 5. Pregnancy or refusal to use contraception.",,Ventricular Tachycardia;Chagas Disease;Cardiac Arrhythmia,Radiation: Stereotactic Body Radiation Therapy,Safety of SBRT for the treatment of Ventricular Tachycardia;Efficacy of SBRT for the treatment of Ventricular Tachycardia,Time to VT Recurrence;VT Burden;Mortality;Cardiac Mortality,4920/19/139,Please refer to primary and secondary sponsors,,,,No,,,,,,,,,,,,No,False,          ,2021.0,18.0
NCT04984616,23 September 2024,Atorvastatin on Inflammation and Cardiac Function in Chronic Chagas Disease,Effect of Statins (Atorvastatin) on Inflammation and Cardiac Function in Patients with Chronic Chagas Disease: Pathophysiological Studies in a Multicenter Proof-of-concept,ATOCHA,Juan D. Maya,2021-06-29,20210629.0,10/13/2025 15:56:09,ClinicalTrials.gov,https://clinicaltrials.gov/ct2/show/NCT04984616,Not recruiting,No,18 Years,50 Years,All,12/10/2021,300,Interventional,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Double (Participant, Investigator). ",Phase 2,Chile,"Inclusion Criteria:<br><br> - Adults older than 18 and younger than 50 years,<br><br> - with a weight higher than 40 kg<br><br> - Positive conventional confirmatory serology for T. cruzi infection from the NAtional<br>   Public Health institute (ISPCH), and<br><br> - A positive qPCR<br><br> - Have normal laboratory test values for the following parameters: total white blood<br>   cell count, platelet count, creatine kinase (CK), alanine aminotransferase (ALT),<br>   aspartate aminotransferase (AST), total bilirubin or creatinine, or a gamma-glutamyl<br>   transferase (GGT) > 2 times the upper limit of normal (X ULN);<br><br> - Women of reproductive age must have a negative serum pregnancy test, must not be<br>   breastfeeding, and must consistently use a highly effective contraceptive method<br>   throughout the treatment phase<br><br> - Ability to comply with all protocol-specified follow-up tests and visits and have a<br>   permanent address;<br><br> - Signed written informed consent form<br><br>Exclusion Criteria:<br><br> - Signs and symptoms of the digestive form of Chagas Disease;<br><br> - Chronic cardiac Chagas Disease stage II or higher;<br><br> - Acute or chronic health conditions such as acute infections, history of HIV<br>   infection, diabetes, liver and kidney disease;<br><br> - Hypothyroidism<br><br> - Family history of muscle disorders<br><br> - Pre-existing heart disease unrelated to Chagas disease;<br><br> - Formal contraindication to receive nifurtimox or benznidazole,<br><br> - Known history of hypersensitivity, allergy or severe adverse reactions to<br>   atorvastatin, benznidazole or nifurtimox;<br><br> - History of previous treatment for Chagas Disease;<br><br> - History of prior treatment with atorvastatin, lovastatin, rosuvastatin, simvastatin<br>   or any other statin;<br><br> - Any concomitant use of antimicrobial agents;<br><br> - History of alcohol or drug abuse;<br><br> - Any condition that precludes oral medication;<br><br> - Concomitant or intended use of CYP3A4 modifiers;<br><br> - Medical history of familial short QT syndrome or concomitant therapy with<br>   medications that may shorten the QT interval.<br><br> - Abnormal laboratory test values for the following parameters: total white blood cell<br>   count, platelet count, creatine kinase (CK), alanine aminotransferase (ALT),<br>   aspartate aminotransferase (AST), total bilirubin or creatinine, or a gamma-glutamyl<br>   transferase (GGT) > 2 times the upper limit of normal (X ULN);<br><br> - Being pregnant or breastfeeding<br><br> - Refusing to use a highly effective contraceptive method during the treatment phase.",,Chronic Chagas Disease,Drug: 40 mg Atorvastatin/day for 120 days P.O.;Drug: Atorvastatin 80;Drug: Placebo,Number of patients that present a change in the phase of the chronic cardiomyopathy,plasma levels of cytokines (pg/mL);Plasma levels of endothelial adhesion molecules (pg/mL);Proportion of patients with change in heart rate measured by electrocardiographic examination;Proportion of patients with changes in the QT interval duration (milliseconds);Proportion of patients with abnormalities in ventricular electrical conduction determined by the duration of the QRS interval (milliseconds);Proportion of patients with alterations in ventricular function as measured by changes in the ejection fraction percentage estimated by echocardiography;Plasma levels of Cardiac function biomarkers (pg/mL);Parasite load in a blood sample (number of parasites/mL);Incidence of severe adverse events,U1111-1267-3513,Please refer to primary and secondary sponsors,,,,No,,,,,,,,,,,,Yes,False,          ,2021.0,18.0
NCT04239144,15 May 2023,Sympathetic Denervation by Video-assisted Thoracoscopy in Control of Cardiac Arrhythmias in Patients With Chagas Disease,Role of Sympathetic Denervation by Video-assisted Thoracoscopy in Control of Cardiac Arrhythmias in Patients With Chagas Disease - Pilot Study Randomized Controlled Trial,,University of Sao Paulo General Hospital,2019-01-23,20190123.0,10/13/2025 15:56:09,ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT04239144,Recruiting,No,18 Years,,All,09/11/2018,45,Interventional,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label). ,,Brazil,"<br>    Inclusion Criteria:<br><br>     - Patients with Chagas Disease Cardiomyopathy having an ICD<br><br>     - At least four appropriate ICD therapies in the past six months, documented by device<br>       interrogation or medical records;<br><br>     - Use of amiodarone and beta blockers in an optimized fashion;<br><br>     - Life expectancy of more than one year<br><br>     - Conditions for following the plan of clinical follow-up of the study.<br><br>    Exclusion criteria:<br><br>     - Presence of an absolute contraindication to receive any of the possible treatments of<br>       the study;<br><br>     - Pregnant Woman;<br><br>     - Less than 18 years-old;<br><br>     - Renal insufficiency with creatinine >2.5 mg/dL (221 umol/L);<br><br>     - Mobile thrombus in the left ventricle;<br><br>     - Left Ventricle Ejection fraction < 10%;<br><br>     - Unstable angina;<br><br>     - Severe aortic stenosis<br><br>     - Primary severe mitral insufficiency;<br><br>     - New York Heart Association (NYHA) functional class IV;<br><br>     - Previous cardiac surgery or scheduled.<br>   ",,Chagas Cardiomyopathy;Ventricular Arrythmia,Procedure: Bilateral sympathectomy;Procedure: Catheter ablation,Time to Ventricular Tachycardia Recurrence;Burden of Ventricular Tachycardia Recurrence,Ventricular Tachycardia Recurrence Following Sympathectomy Compared to Catheter Ablation.;Mortality and Transplant Rate;Ventricular Ectopic Beats Density;Length of Hospital Stay;Rate of Complications Following Intervention;Impact on Left Ventricular Ejection Fraction;Autonomic Measures,49701215.2.0000.0068,Please refer to primary and secondary sponsors,"Biosense Webster, Inc.",,,No,,,,,,,,,,,,No,False,          ,2019.0,18.0
NCT02646943,18 January 2016,Longitudinal Study of Patients With Chronic Chagas Cardiomyopathy in Brazil (SaMi_Trop Project),Longitudinal Study of Patients With Chronic Chagas Cardiomyopathy in Brazil (SaMi_Trop Project),SaMi-Trop,University of Sao Paulo,2015-12-27,20151227.0,10/13/2025 15:56:09,ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT02646943,Not recruiting,No,18 Years,,Both,01/07/2013,1959,Observational,"Observational Model: Cohort, Time Perspective: Prospective",,,"<br>    Eligibility Criteria: to be a client of the TMS TeleHealth System, have a positive history<br>    for T cruzi infection or Chagas disease, have an abnormal ECG and to consent to<br>    participating in the research program.<br><br>    Exclusion Criteria: The exclusion criteria include pregnancy or breast feeding, and any<br>    severe condition with ominous prognosis that indicates a life expectancy of less than two<br>    years.<br>   ",,Chagas Disease,,Death,Changes in the ECG pattern;Hospitalization due to cardiovascular,P50AI098461-02;2111129,Please refer to primary and secondary sponsors,National Institute of Allergy and Infectious Diseases (NIAID);Federal University of Minas Gerais;Federal University of São João del-Rei,,,No,,,,,,,,,,,,No,False,          ,2015.0,18.0
NCT02517632,16 December 2017,Physical Exercise Program in Chronic Chagas Heart Disease,Impact of a Physical Exercise Program in Cardiopulmonary RehAbilitation In Patients With Chronic Chagas Heart Disease: a Randomized Controlled Trial (PEACH Trial),PEACH,Evandro Chagas National Institute of Infectious Disease,2015-08-05,20150805.0,10/13/2025 15:56:09,ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT02517632,Not recruiting,No,18 Years,,All,01/03/2015,30,Interventional,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Single (Outcomes Assessor). ,Phase 3,Brazil;Brazil;Brazil;Brazil;Brazil,"<br>    Inclusion Criteria: (1) Chagas disease diagnosis by serology; (2) chronic chagasic<br>    cardiomyopathy, with left ventricular ejection fraction <45% or compensated heart failure<br>    (3) clinical stability in the last three months, (4) adherence to the ambulatory clinical<br>    treatment and (5) age above 18 years.<br><br>    Exclusion Criteria: (1) pregnancy, (2) neuromuscular limitations, (3) tobacco use, (4)<br>    evidence of nonchagasic heart disease, (5) systemic conditions that limits exercise<br>    practice or hemodynamic stress tests (6) unavailability to attend three times a week for a<br>    minimum of six months, (7) practitioners of regular exercise and (8) claustrophobia.<br>   ;<br>    Inclusion Criteria: (1) Chagas disease diagnosis by serology; (2) chronic chagasic<br>    cardiomyopathy, with left ventricular ejection fraction <45% or compensated heart failure<br>    (3) clinical stability in the last three months, (4) adherence to the ambulatory clinical<br>    treatment and (5) age above 18 years.<br><br>    Exclusion Criteria: (1) pregnancy, (2) neuromuscular limitations, (3) tobacco use, (4)<br>    evidence of nonchagasic heart disease, (5) systemic conditions that limits exercise<br>    practice or hemodynamic stress tests (6) unavailability to attend three times a week for a<br>    minimum of six months, (7) practitioners of regular exercise and (8) claustrophobia.<br>   ;<br>    Inclusion Criteria: (1) Chagas disease diagnosis by serology; (2) chronic chagasic<br>    cardiomyopathy, with left ventricular ejection fraction <45% or compensated heart failure<br>    (3) clinical stability in the last three months, (4) adherence to the ambulatory clinical<br>    treatment and (5) age above 18 years.<br><br>    Exclusion Criteria: (1) pregnancy, (2) neuromuscular limitations, (3) tobacco use, (4)<br>    evidence of nonchagasic heart disease, (5) systemic conditions that limits exercise<br>    practice or hemodynamic stress tests (6) unavailability to attend three times a week for a<br>    minimum of six months, (7) practitioners of regular exercise and (8) claustrophobia.<br>   ;<br>    Inclusion Criteria: (1) Chagas disease diagnosis by serology; (2) chronic chagasic<br>    cardiomyopathy, with left ventricular ejection fraction <45% or compensated heart failure<br>    (3) clinical stability in the last three months, (4) adherence to the ambulatory clinical<br>    treatment and (5) age above 18 years.<br><br>    Exclusion Criteria: (1) pregnancy, (2) neuromuscular limitations, (3) tobacco use, (4)<br>    evidence of nonchagasic heart disease, (5) systemic conditions that limits exercise<br>    practice or hemodynamic stress tests (6) unavailability to attend three times a week for a<br>    minimum of six months, (7) practitioners of regular exercise and (8) claustrophobia.<br>   ",,Chagas Disease;Chagas Cardiomyopathy;Chagas Disease;Chagas Cardiomyopathy;Chagas Disease;Chagas Cardiomyopathy;Chagas Disease;Chagas Cardiomyopathy,"Behavioral: Exercise, nutritional and pharmaceutical counceling;Behavioral: Nutritional and pharmaceutical counceling;Behavioral: Exercise, nutritional and pharmaceutical counceling;Behavioral: Nutritional and pharmaceutical counceling;Behavioral: Exercise, nutritional and pharmaceutical counceling;Behavioral: Nutritional and pharmaceutical counceling;Behavioral: Exercise, nutritional and pharmaceutical counceling;Behavioral: Nutritional and pharmaceutical counceling",Functional capacity measured by peak exercise oxygen consumption;Functional capacity measured by peak exercise oxygen consumption;Functional capacity measured by peak exercise oxygen consumption,Muscle respiratory strength;Body composition (body fat percentage);Cardiac function (maily ejection fraction);Laboratorial biomarkers composite;Quality of life;24 hours Holter;Nutritional assessment;Pharmaceutical assessment;Microvascular reactivity;Body mass index,CAAE:38038914.6.0000.5262,Please refer to primary and secondary sponsors,"National Institute of Cardiology, Laranjeiras, Brazil",,,No,,,,,,,,,,,,No,False,          ,2015.0,18.0
NCT02386358,16 March 2015,Etiologic Treatment With Benznidazole in Adult Patients With Chronic Chagas Disease. A Randomized Clinical Trial,Etiologic Treatment With Benznidazole in Adult Patients With Chronic Chagas Disease. A Randomized Double Blind Clinical Trial,TRAENA,Instituto Nacional de Parasitologia Dr. Mario Fatala Chaben,2015-01-19,20150119.0,10/13/2025 15:56:09,ClinicalTrials.gov,http://clinicaltrials.gov/show/NCT02386358,Not recruiting,No,20 Years,55 Years,Both,01/03/1999,910,Interventional,"Allocation: Randomized, Endpoint Classification: Efficacy Study, Intervention Model: Parallel Assignment, Masking: Double Blind (Subject, Caregiver, Investigator), Primary Purpose: Treatment",Phase 3,Argentina,"<br>    Inclusion Criteria:<br><br>     - Patients living in urban areas<br><br>     - Reactive to at least 2 for serological test performed in Fatala Chaben Institute<br>       (ELISA and IFI) ,<br><br>     - Patients who agreed to be part of this protocol through informed consent form signed<br><br>    Exclusion Criteria:<br><br>     - Patients with chronic Chagas disease who have received prior treatment with<br>       benznidazole<br><br>     - Other cardiomyopathies : idiopathic , alcoholic , peripartum myocarditis, secondary<br>       to coronary artery disease, valve disease, hypertension, restrictive, hypertrophic<br>       or congenital<br><br>     - Chronic renal disease<br><br>     - Bleeding disorders<br><br>     - History of liver disease or current liver disease ,<br><br>     - Any other severe clinical disease that decreases their life expectancy<br><br>     - History of severe allergies<br><br>     - Pregnant patients<br><br>     - Patients who have not signed the informed consent.<br>   ",,Chagas Disease,Drug: Benznidazole;Drug: Placebo,Cardiovascular Mortality;Development of heart failure;Severe arrhythmias with hemodynamic compromise or pacemaker implant or Implantable cardiac defibrillator,Electrocardiographic endpoints. New development of permanent changes in the electrocardiographic;Changes in clinical stage in chronic Chagas disease;Enlargement of the left ventricle (LV) detected by echocardiography.;New Heart Failure;Stroke;Serological negativization;Development and validation of RT-PCR;Changes of the secondary objectives during RCT development. New single endpoints;Combined clinical endpoints:,TRAENA,Please refer to primary and secondary sponsors,"National Council of Scientific and Technical Research, Argentina;Pan American Health Organization;Becas Carrillo Oñativia, Ministerio de Salud, Argentina;Drugs for Neglected Diseases Initiative (DNDi)",,,No,,,,,,,,,,,,No,False,          ,2015.0,20.0
NCT02498782,3 August 2015,Study to Evaluate Fexinidazole Dosing Regimens for the Treatment of Adult Patients With Chagas Disease,"Phase 2, Randomized, Multicenter, Placebo-controlled, Safety and Efficacy Study to Evaluate Six Oral Fexinidazole Dosing Regimens for the Treatment of Adult Patients With Chronic Indeterminate Chagas Disease.",,Drugs for Neglected Diseases,2014-08-20,20140820.0,10/13/2025 15:56:09,ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT02498782,Recruiting,No,18 Years,50 Years,Both,01/07/2014,140,Interventional,"Allocation: Randomized, Endpoint Classification: Safety/Efficacy Study, Intervention Model: Parallel Assignment, Masking: Double Blind (Subject, Investigator), Primary Purpose: Treatment",Phase 2,Bolivia,"<br>    Inclusion Criteria:<br><br>     - Confirmed diagnosis of T. cruzi infection by Serial qualitative PCR (three samples<br>       collected over a single day, at least one of which must be positive) AND<br>       Conventional serology (a minimum of two out of three positive tests must be positive<br>       [Conventional ELISA, Recombinant Elisa or IIF)<br><br>     - Women in reproductive age must have a negative serum pregnancy test at screening,<br>       must not be breastfeeding, and consistently use a highly effective contraceptive<br>       method during the entire trial.<br><br>     - Normal EKG  (PR =200 msec, QRS =120 msec, and QTc =400msec and =450 msec interval<br>       durations) at screening<br><br>    Exclusion Criteria:<br><br>     - Signs and/or symptoms of chronic cardiac and/or digestive form of CD (as per Study<br>       Manual of Operations)<br><br>     - History of cardiomyopathy, heart failure or ventricular arrhythmia<br><br>     - Any other acute or chronic health conditions that, in the opinion of the PI, may<br>       interfere with the efficacy and/or safety evaluation of the study drug (such as acute<br>       infections, history of HIV infection, diabetes, liver and renal disease requiring<br>       medical treatment)<br><br>     - Laboratory test values considered clinically significant or out of the allowable<br>       range at screening as follows:<br><br>        - Total WBC must be within the normal range, with an acceptable margin of +/- 5%<br>         (3,800 - 10,500 / mm3).<br><br>        - Platelets must be within the normal range up to 550,000 / mm3<br><br>        - Total bilirubin must be within the normal range Transaminases (ALT and AST) must<br>         be within the normal range, with an acceptable margin of 25% above the upper<br>         limit of normality (ULN), < 1.25 x ULN.<br><br>        - Creatinine must be within an acceptable margin of 10% above the ULN, <1.10 x<br>         ULN.<br><br>        - Alkaline phosphatase must be within the normal range up to Grade 1 CTCAE (< 2.5<br>         x ULN)<br><br>        - GGT must be within the normal range up to 2x ULN.<br><br>        - Potassium, Magnesium, Calcium must be within the normal range<br><br>     - History of alcohol abuse or any other drug addiction (as specified in the Study<br>       Manual of Operations).<br><br>     - Any condition that prevents the patient from taking oral medication.<br><br>     - Patients  with  contra-indication  (known  hypersensitivity)  to  other<br>       nitroimidazoles, e.g. metronidazole.<br><br>     - Any concomitant use of antimicrobial or anti-parasitic agents.<br>   ",,"Chagas Disease;Trypanosomiasis, South American;South American Trypanosomiasis;Disease, Chagas",Drug: Fexinidazole;Drug: Placebo,Parasitological cure rate (PCR);Adverse events;Serious Adverse events,Parasite Clearance (qualitative PCR);Parasite load;Serological response;Blood culture for parasite genotyping,DNDi-CH-FEXI-001,Please refer to primary and secondary sponsors,,,,No,,,,,,,,,,,,No,False,          ,2014.0,18.0
NCT01755377,29 August 2016,"New Tools for the Diagnosis, Prognosis and Treatment Follow-up in Chagas Disease",Evolution of Serologic Biomarkers and Diastolic Function and Segmentary Contractility Determined by Echocardiography After Treatment in Chagas Diseases,BIOMARCHA,Barcelona Centre for International Health Research,2012-12-19,20121219.0,10/13/2025 15:56:09,ClinicalTrials.gov,https://clinicaltrials.gov/show/NCT01755377,Not recruiting,No,18 Years,50 Years,Both,01/12/2012,63,Observational,"Observational Model: Cohort, Time Perspective: Prospective",,Spain,"<br>    Inclusion Criteria:<br><br>     - Patients from endemic areas (Latin America)<br><br>     - Older than 18 years old and younger than 50<br><br>     - With serological confirmation of Chagas Disease infection with two different<br>       techniques<br><br>     - Indeterminate or initial cardiac form<br><br>     - No previously treated for Chagas Disease<br><br>    Exclusion Criteria:<br><br>     - Co-morbidity: previous cardiac disease from other aetiology (ischemic, alcoholic or<br>       hypertensive), active inflammatory or immunology diseases for another agent. Hepatic<br>       disfunction<br><br>     - Pregnancy or lactation<br>   ",,Chagas Disease,Drug: Benznidazole,"Biomarkers for prognosis, early diagnosis and effectiveness of treatment.",Cardiac function after antiparasitic treatment,BIOMARCHA,Please refer to primary and secondary sponsors,,,,No,,,,,,,,,,,,No,False,          ,2012.0,18.0
